Serie;Codigo_municipio;Nombre;paro_25_44_2022;paro_25_44_2023;paro_mayores_25_2022;paro_mayores_25_2023;paro_mayores_45_2022;paro_mayores_45_2023;paro_menores_25_2022;paro_menores_25_2023;paro_100_habitantes_2022;paro_100_habitantes_2023;paro_registrado_total_2022;paro_registrado_total_2023;porcentaje_paro_mayores_25_2022;porcentaje_paro_mayores_25_2023;porcentaje_paro_menores_25_2022;porcentaje_paro_menores_25_2023;variacion_paro_registrado_2022;variacion_paro_registrado_2023
Municipios;1369;Santorcaz;16;13;47;44;31;31;3;9;5.31;5.63;50;53;94.00;83.02;6.00;16.98;4.17;6.00
Municipios;1375;Santos de la Humosa (Los);63;54;140;121;77;67;10;9;5.45;4.69;150;130;93.33;93.08;6.67;6.92;-13.29;-13.33
Municipios;1381;Serna del Monte (La);3;3;7;7;4;4;0;0;6.48;6.60;7;7;100.00;100.00;0.00;0.00;-12.50;0.00
Municipios;1408;Serranillos del Valle;82;70;222;200;140;130;17;20;5.30;4.76;239;220;92.89;90.91;7.11;9.09;-17.59;-7.95
Municipios;1415;Sevilla la Nueva;153;134;417;368;264;234;30;36;4.78;4.23;447;404;93.29;91.09;6.71;8.91;-28.59;-9.62
Municipios;1436;Somosierra;5;1;7;5;2;4;1;0;9.20;5.88;8;5;87.50;100.00;12.50;0.00;300.00;-37.50
Municipios;1441;Soto del Real;103;93;317;292;214;199;21;23;3.68;3.35;338;315;93.79;92.70;6.21;7.30;-20.84;-6.80
Municipios;1454;Talamanca de Jarama;73;70;184;179;111;109;10;12;4.61;4.39;194;191;94.85;93.72;5.15;6.28;-18.14;-1.55
Municipios;1467;Tielmes;87;77;197;183;110;106;11;13;7.47;7.15;208;196;94.71;93.37;5.29;6.63;-16.47;-5.77
Municipios;1473;Titulcia;39;30;98;86;59;56;10;12;8.08;7.20;108;98;90.74;87.76;9.26;12.24;-15.63;-9.26
Municipios;1489;Torrejón de Ardoz;3224;2725;7692;6810;4468;4085;674;713;6.21;5.46;8366;7523;91.94;90.52;8.06;9.48;-19.88;-10.08
Municipios;1505;Torrejón de Velasco;69;59;194;167;125;108;19;22;4.55;3.97;213;189;91.08;88.36;8.92;11.64;-16.47;-11.27
Municipios;1492;Torrejón de la Calzada;188;185;422;394;234;209;29;35;4.53;4.20;451;429;93.57;91.84;6.43;8.16;-16.01;-4.88
Municipios;1512;Torrelaguna;100;83;226;220;126;137;21;20;5.00;4.85;247;240;91.50;91.67;8.50;8.33;-15.12;-2.83
Municipios;1527;Torrelodones;234;182;717;631;483;449;32;25;3.02;2.61;749;656;95.73;96.19;4.27;3.81;-18.94;-12.42
